         12744 function calls (12463 primitive calls) in 0.146 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:666(_code_to_bytecode)
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:68(_path_stat)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:732(__enter__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:739(__exit__)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:824(cached)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:99(_write_atomic)
        4    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 __init__.py:1043(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1067(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1219(Logger)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1536(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1550(LoggerAdapter)
        2    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1898(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.016    0.016 __init__.py:24(<module>)
        4    0.000    0.000    0.004    0.001 __init__.py:301(namedtuple)
       17    0.000    0.000    0.000    0.000 __init__.py:364(<genexpr>)
       17    0.000    0.000    0.000    0.000 __init__.py:366(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:368(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:374(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:383(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:392(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:416(Formatter)
        1    0.000    0.000    0.119    0.119 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:460(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:589(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:631(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:668(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:673(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:740(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:750(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:759(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:788(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:935(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:986(FileHandler)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:419(get)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 argparse.py:1010(_HelpAction)
        2    0.000    0.000    0.000    0.000 argparse.py:1012(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1029(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1055(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1057(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1151(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:118(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1205(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1230(_ActionsContainer)
        9    0.000    0.000    0.003    0.000 argparse.py:1232(__init__)
      102    0.000    0.000    0.001    0.000 argparse.py:1284(register)
       28    0.000    0.000    0.000    0.000 argparse.py:1288(_registry_get)
       14    0.001    0.000    0.004    0.000 argparse.py:1313(add_argument)
        6    0.000    0.000    0.001    0.000 argparse.py:1360(add_argument_group)
       24    0.000    0.000    0.000    0.000 argparse.py:1370(_add_action)
        2    0.000    0.000    0.000    0.000 argparse.py:1394(_add_container_actions)
        4    0.000    0.000    0.000    0.000 argparse.py:1434(_get_positional_kwargs)
       10    0.000    0.000    0.000    0.000 argparse.py:1450(_get_optional_kwargs)
       14    0.000    0.000    0.000    0.000 argparse.py:1486(_pop_action_class)
        9    0.000    0.000    0.000    0.000 argparse.py:1490(_get_handler)
       24    0.000    0.000    0.000    0.000 argparse.py:1499(_check_conflict)
        1    0.000    0.000    0.000    0.000 argparse.py:153(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1537(_ArgumentGroup)
        6    0.000    0.000    0.001    0.000 argparse.py:1539(__init__)
       24    0.000    0.000    0.001    0.000 argparse.py:1561(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1571(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1591(ArgumentParser)
       14    0.000    0.000    0.002    0.000 argparse.py:160(__init__)
        3    0.000    0.000    0.009    0.003 argparse.py:1609(__init__)
       14    0.000    0.000    0.000    0.000 argparse.py:1716(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1728(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 argparse.py:1729(<listcomp>)
        1    0.000    0.000    0.002    0.002 argparse.py:1736(parse_args)
        1    0.000    0.000    0.002    0.002 argparse.py:1743(parse_known_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1778(_parse_known_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1825(take_action)
        1    0.000    0.000    0.001    0.001 argparse.py:1923(consume_positionals)
        1    0.000    0.000    0.000    0.000 argparse.py:203(_Section)
       14    0.000    0.000    0.000    0.000 argparse.py:205(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:2074(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 argparse.py:2080(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2084(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2192(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 argparse.py:2236(_get_values)
        1    0.000    0.000    0.000    0.000 argparse.py:2314(_check_value)
       14    0.000    0.000    0.002    0.000 argparse.py:2354(_get_formatter)
       14    0.000    0.000    0.000    0.000 argparse.py:565(_metavar_formatter)
       14    0.000    0.000    0.000    0.000 argparse.py:574(format)
       14    0.000    0.000    0.000    0.000 argparse.py:581(_format_args)
        7    0.000    0.000    0.000    0.000 argparse.py:596(<listcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:642(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:653(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:664(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:681(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:714(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:734(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:743(Action)
       14    0.000    0.000    0.000    0.000 argparse.py:794(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:834(_StoreAction)
        7    0.000    0.000    0.000    0.000 argparse.py:836(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:865(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:869(_StoreConstAction)
        5    0.000    0.000    0.000    0.000 argparse.py:871(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:892(_StoreTrueAction)
        3    0.000    0.000    0.000    0.000 argparse.py:894(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:909(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:926(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:963(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:989(_CountAction)
        1    0.000    0.000    0.040    0.040 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:123(_BaseTestCaseContext)
        9    0.000    0.000    0.000    0.000 case.py:1285(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1306(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:133(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1364(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:165(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:199(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:24(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:253(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:272(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:316(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:32(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:37(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:43(_Outcome)
        2    0.000    0.000    0.000    0.000 contextlib.py:96(contextmanager)
        1    0.000    0.000    0.000    0.000 difflib.py:1652(HtmlDiff)
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:751(Differ)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:384(lru_cache)
        1    0.000    0.000    0.000    0.000 functools.py:420(decorating_function)
        6    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
        5    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       64    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
       16    0.000    0.000    0.001    0.000 gettext.py:111(_expand_lang)
        8    0.001    0.000    0.005    0.001 gettext.py:353(find)
        8    0.000    0.000    0.005    0.001 gettext.py:408(translation)
        8    0.000    0.000    0.005    0.001 gettext.py:474(dgettext)
        8    0.000    0.000    0.005    0.001 gettext.py:512(gettext)
        1    0.000    0.000    0.010    0.010 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:51(TestLoader)
        1    0.000    0.000    0.000    0.000 loader.py:73(loadTestsFromModule)
       16    0.000    0.000    0.000    0.000 locale.py:373(normalize)
        1    0.000    0.000    0.029    0.029 main.py:1(<module>)
        1    0.000    0.000    0.015    0.015 main.py:112(parseArgs)
        1    0.000    0.000    0.000    0.000 main.py:141(createTests)
        1    0.000    0.000    0.013    0.013 main.py:148(_initArgParsers)
        1    0.000    0.000    0.006    0.006 main.py:153(_getParentArgParser)
        1    0.000    0.000    0.003    0.003 main.py:181(_getMainArgParser)
        1    0.000    0.000    0.004    0.004 main.py:192(_getDiscoveryArgParser)
        1    0.000    0.000    0.003    0.003 main.py:227(runTests)
        1    0.000    0.000    0.000    0.000 main.py:48(TestProgram)
        1    0.000    0.000    0.018    0.018 main.py:58(__init__)
       22    0.000    0.000    0.000    0.000 os.py:628(__getitem__)
       22    0.000    0.000    0.000    0.000 os.py:704(encode)
        8    0.000    0.000    0.000    0.000 os.py:708(decode)
        4    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
       68    0.000    0.000    0.000    0.000 posixpath.py:38(_get_sep)
        1    0.000    0.000    0.000    0.000 posixpath.py:49(normcase)
       64    0.001    0.000    0.002    0.000 posixpath.py:70(join)
        1    0.000    0.000    0.000    0.000 pprint.py:101(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:71(_safe_key)
        1    0.000    0.000    0.146    0.146 profile:0(<code object <module> at 0x7f28869bbd20, file "z1.py", line 1>)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    0.001    0.001 re.py:157(match)
       44    0.000    0.000    0.025    0.001 re.py:221(compile)
        1    0.000    0.000    0.000    0.000 re.py:239(escape)
       45    0.000    0.000    0.026    0.001 re.py:277(_compile)
        1    0.000    0.000    0.017    0.017 result.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:103(stopTestRun)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
        2    0.000    0.000    0.000    0.000 result.py:159(wasSuccessful)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 result.py:38(__init__)
        1    0.000    0.000    0.000    0.000 result.py:71(startTestRun)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:106(printErrors)
        2    0.000    0.000    0.000    0.000 runner.py:112(printErrorList)
        1    0.000    0.000    0.000    0.000 runner.py:120(TextTestRunner)
        1    0.000    0.000    0.000    0.000 runner.py:128(__init__)
        1    0.000    0.000    0.000    0.000 runner.py:13(_WritelnDecorator)
        1    0.000    0.000    0.000    0.000 runner.py:141(_makeResult)
        1    0.000    0.000    0.003    0.003 runner.py:144(run)
        1    0.000    0.000    0.000    0.000 runner.py:15(__init__)
        8    0.000    0.000    0.000    0.000 runner.py:18(__getattr__)
        4    0.000    0.000    0.000    0.000 runner.py:23(writeln)
        1    0.000    0.000    0.000    0.000 runner.py:29(TextTestResult)
        1    0.000    0.000    0.000    0.000 runner.py:37(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:42(registerResult)
        1    0.000    0.000    0.000    0.000 signals.py:9(_InterruptHandler)
      200    0.001    0.000    0.001    0.000 sre_compile.py:107(fixup)
       20    0.000    0.000    0.005    0.000 sre_compile.py:227(_compile_charset)
       20    0.003    0.000    0.005    0.000 sre_compile.py:255(_optimize_charset)
        8    0.000    0.000    0.000    0.000 sre_compile.py:406(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 sre_compile.py:408(<listcomp>)
        5    0.000    0.000    0.000    0.000 sre_compile.py:411(_bytes_to_codes)
       19    0.000    0.000    0.000    0.000 sre_compile.py:418(_simple)
        1    0.000    0.000    0.000    0.000 sre_compile.py:423(_generate_overlap_table)
       11    0.000    0.000    0.001    0.000 sre_compile.py:444(_compile_info)
       22    0.000    0.000    0.000    0.000 sre_compile.py:545(isstring)
       11    0.000    0.000    0.012    0.001 sre_compile.py:548(_code)
       11    0.000    0.000    0.025    0.002 sre_compile.py:563(compile)
    46/11    0.003    0.000    0.011    0.001 sre_compile.py:70(_compile)
       70    0.000    0.000    0.000    0.000 sre_parse.py:138(__len__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:140(__delitem__)
      166    0.001    0.000    0.001    0.000 sre_parse.py:142(__getitem__)
       19    0.000    0.000    0.000    0.000 sre_parse.py:146(__setitem__)
       91    0.000    0.000    0.000    0.000 sre_parse.py:150(append)
    65/30    0.001    0.000    0.001    0.000 sre_parse.py:152(getwidth)
       11    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
      467    0.003    0.000    0.004    0.000 sre_parse.py:195(__next)
      122    0.000    0.000    0.001    0.000 sre_parse.py:214(match)
      419    0.002    0.000    0.005    0.000 sre_parse.py:220(get)
        1    0.000    0.000    0.000    0.000 sre_parse.py:233(tell)
        1    0.000    0.000    0.000    0.000 sre_parse.py:235(seek)
        8    0.000    0.000    0.000    0.000 sre_parse.py:265(_class_escape)
       15    0.000    0.000    0.000    0.000 sre_parse.py:307(_escape)
    19/11    0.001    0.000    0.012    0.001 sre_parse.py:363(_parse_sub)
    24/12    0.003    0.000    0.012    0.001 sre_parse.py:441(_parse)
       11    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       11    0.000    0.000    0.000    0.000 sre_parse.py:738(fix_flags)
       11    0.000    0.000    0.013    0.001 sre_parse.py:750(parse)
        6    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       46    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.011    0.011 string.py:15(<module>)
        1    0.000    0.000    0.000    0.000 string.py:162(Formatter)
